INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL
ITT Technical Institute-Little Rock,Little Rock,AR,72211,www.itt-tech.edu,34.75153,-92.409381,0.8582,NULL
ITT Technical Institute-Oxnard,Oxnard,CA,93036,www.itt-tech.edu,34.221029,-119.145955,0.9192,NULL
ITT Technical Institute-Louisville,Louisville,KY,40216,www.itt-tech.edu,38.18239,-85.816451,0.7737,NULL
ITT Technical Institute-Greenville,Greenville,SC,29615,www.itt-tech.edu,34.83592,-82.29693,0.9533,NULL
ITT Technical Institute-Cordova,Cordova,TN,38016,www.itt-tech.edu,35.18061,-89.821499,0.9653,NULL
United Education Institute-Morrow,Morrow,GA,30260-2941,www.uei.edu,33.573394,-84.338671,NULL,NULL
Toni & Guy Hairdressing Academy-Atlanta,Marietta,GA,30062,toniguy.edu,33.950837,-84.514617,NULL,NULL
Mitchell's Hair Styling Academy-Raleigh,Raleigh,NC,27606,www.mitchells.edu,35.764652,-78.742438,NULL,NULL
Salon Academy,Coldwater,MI,49036,salonacademymi.net,41.954952,-84.999503,NULL,NULL
Artistic Academy of Hair Design,Morris Plains,NJ,7950,www.artisticacademy.com,40.855589,-74.486405,NULL,NULL
Motoring Technical Training Institute,Seekonk,MA,2771,www.mtti.edu,41.792171,-71.324714,0.9394,NULL
Phagans Newport Academy of Cosmetology Careers,Newport,OR,97365,www.phagans-schools.com,44.635975,-124.051262,NULL,NULL
Mech-Tech College,Caguas,PR,00725-0000,https://www.mechtech.edu,18.237102,-66.053276,NULL,NULL
Baldwin Beauty School-North Austin,Austin,TX,78757-7068,baldwinbeautyschools.com,30.365682,-97.729196,NULL,NULL
ITT Technical Institute-Everett,Everett,WA,98203,www.itt-tech.edu,47.929947,-122.258707,0.8617,NULL
Jean Madeline Aveda Institute,Philadelphia,PA,19147,jeanmadeline.edu,39.940651,-75.147981,NULL,NULL
ITT Technical Institute-Bessemer,Bessemer,AL,35022,www.itt-tech.edu,33.33934,-86.915593,0.7465,NULL
ITT Technical Institute-Orland Park,Orland Park,IL,60467,www.itt-tech.edu,41.55342,-87.899751,0.6456,NULL
Pacific College of Oriental Medicine-New York,New York,NY,10038,www.pacificcollege.edu,40.7088,-74.006721,NULL,NULL
Johnson & Wales University-North Miami,North Miami,FL,33181,www1.jwu.edu/north-miami/,25.894337,-80.164797,0.7585,NULL
ITT Technical Institute-Pittsburgh,Pittsburgh,PA,15205,www.itt-tech.edu,40.44598,-80.157371,0.7159,NULL
Tricoci University of Beauty Culture-Indianapolis,Indianapolis,IN,46256,www.tricociuniversity.edu,39.928723,-86.03113,NULL,NULL
Trine University-Regional/Non-Traditional Campuses,Fort Wayne,IN,46825,www.trine.edu,41.176826,-85.108364,NULL,1089
Pennsylvania Highlands Community College,Johnstown,PA,15904-2949,www.pennhighlands.edu,40.26408,-78.837175,NULL,NULL
Nevada Career Institute,Las Vegas,NV,89130,www.nevadacareerinstitute.com,36.217932,-115.207303,NULL,NULL
Phillips Theological Seminary,Tulsa,OK,74116-5612,www.ptstulsa.edu/Home.aspx,36.167983,-95.868146,NULL,NULL
Empire Beauty School-Hanover,Hanover,PA,17331,www.empire.edu,39.816991,-76.995039,NULL,NULL
Industrial Management Training Institute,Waterbury,CT,6706,IMTI.edu,41.549618,-73.035893,NULL,NULL
Faris Technical Institute Inc,Nederland,TX,77627-3829,www.faristechnicalinstitute.com,29.982161,-93.997457,NULL,NULL
Allen School-Jamaica,Jamaica,NY,11432,www.allenschool.edu,40.704694,-73.796295,NULL,NULL
Premiere Career College,Irwindale,CA,91706-3746,www.premierecollege.edu,34.080137,-117.990592,NULL,NULL
Tennessee Academy of Cosmetology-Stage Road,Memphis,TN,38133,tac.edu,35.204104,-89.828905,NULL,NULL
The University of Texas MD Anderson Cancer Center,Houston,TX,77030-4009,www.uth.edu/,29.705395,-95.40079,NULL,NULL
Carousel Beauty College-Springfield,Springfield,OH,45504,www.carouselbeauty.com,39.9456,-83.850037,NULL,NULL
Carousel Beauty College-Kettering,Kettering,OH,45420,www.CarouselBeauty.com,39.701085,-84.122684,NULL,NULL
Paul Mitchell the School-Huntsville,Madison,AL,35758,https://paulmitchell.edu/huntsville,34.6813,-86.752491,NULL,NULL
Estes Institute of Cosmetology Arts and Science,Visalia,CA,93291,www.estescosmetology.com,36.329656,-119.289484,NULL,NULL
Baldwin Park Adult & Community Education,Baldwin Park,CA,91706-4221,www.bpusd.net/adult,34.09673,-117.959486,NULL,NULL
Ventura Adult and Continuing Education,Ventura,CA,93003-0000,www.adultedventura.edu,34.256528,-119.21916,NULL,NULL
Albert I Prince Technical High School,Hartford,CT,6106,www.cttech.org/prince/,41.74174,-72.705991,NULL,NULL
Bullard-Havens Technical High School,Bridgeport,CT,6610,www.cttech.org/bullard-havens/index.htm,41.199127,-73.164171,NULL,NULL
Howell Cheney THS/CT Aero Tech School,Hartford,CT,6114,ctaero.cttech.org/,41.736171,-72.652752,NULL,NULL
